,Sol,avg_duration,avg_peak,flare_count,aurora_count,target
302,2015-11-20,7.0,3.0,1,0,0
303,2015-11-21,17.6,8.4,5,0,0
304,2015-11-22,24.428571428571427,16.285714285714285,7,0,0
305,2015-11-23,46.2,21.4,5,0,0
306,2015-11-25,78.0,59.0,1,0,0
307,2015-11-26,50.0,17.333333333333332,3,0,0
308,2015-11-28,66.0,27.0,1,0,0
309,2015-11-30,27.5,13.5,2,3,1
310,2015-12-01,21.0,13.0,1,0,0
311,2015-12-02,35.5,16.5,2,1,1
312,2015-12-03,44.0,27.0,1,0,0
313,2015-12-04,9.0,6.0,1,0,0
314,2015-12-05,14.4,7.0,5,2,1
315,2015-12-06,35.5,13.5,2,5,1
316,2015-12-07,57.0,26.5,4,3,1
317,2015-12-08,27.0,15.0,2,1,1
318,2015-12-09,18.5,13.5,4,0,0
319,2015-12-10,32.666666666666664,23.0,3,1,1
320,2015-12-11,18.25,5.75,4,4,1
321,2015-12-12,19.555555555555557,8.555555555555555,9,0,0
322,2015-12-13,9.0,4.0,1,0,0
323,2015-12-14,11.5,6.0,4,0,0
324,2015-12-15,49.5,25.5,2,1,1
325,2015-12-16,219.5,119.5,2,0,0
326,2015-12-17,31.5,15.5,2,0,0
327,2015-12-18,91.33333333333333,55.333333333333336,3,0,0
328,2015-12-19,53.25,26.25,4,0,0
329,2015-12-20,29.571428571428573,16.285714285714285,7,52,1
330,2015-12-21,12.818181818181818,8.090909090909092,11,34,1
331,2015-12-22,49.75,23.0,4,0,0
332,2015-12-23,26.333333333333332,12.0,3,0,0
333,2015-12-24,853.5,79.0,2,0,0
334,2015-12-25,38.0,21.0,2,2,1
335,2015-12-26,39.0,15.4,5,3,1
336,2015-12-27,13.5,5.5,2,1,1
337,2015-12-28,9.0,6.0,1,0,0
338,2015-12-29,26.333333333333332,13.666666666666666,3,0,0
339,2015-12-30,31.428571428571427,19.571428571428573,7,0,0
340,2015-12-31,10.75,6.375,8,23,1
341,2016-01-01,28.428571428571427,13.428571428571429,7,64,1
342,2016-01-03,7.0,4.0,1,0,0
343,2016-01-04,7.0,4.0,1,3,1
344,2016-01-06,25.875,14.875,8,2,1
345,2016-01-07,7.8,3.8,5,4,1
346,2016-01-08,17.0,10.0,3,0,0
347,2016-01-10,8.0,4.0,1,1,1
348,2016-01-11,31.333333333333332,16.666666666666668,3,3,1
349,2016-01-12,19.5,9.0,2,4,1
350,2016-01-13,18.333333333333332,9.666666666666666,6,1,1
351,2016-01-14,13.0,4.0,1,0,0
352,2016-01-15,11.0,5.571428571428571,7,0,0
353,2016-01-16,9.333333333333334,5.833333333333333,6,1,1
354,2016-01-17,36.0,13.0,1,3,1
355,2016-01-18,38.0,27.0,1,1,1
356,2016-01-19,24.0,12.25,4,5,1
357,2016-01-20,8.727272727272727,4.636363636363637,11,7,1
358,2016-01-21,33.75,18.75,4,11,1
359,2016-01-22,24.666666666666668,15.333333333333334,3,0,0
360,2016-01-23,11.0,4.0,1,0,0
361,2016-01-24,46.0,20.555555555555557,9,1,1
362,2016-01-25,10.25,5.0,8,0,0
363,2016-01-26,55.333333333333336,24.833333333333332,6,0,0
364,2016-01-27,16.6,7.0,5,0,0
365,2016-01-28,16.0,8.2,5,0,0
366,2016-01-29,42.77777777777778,21.0,9,0,0
367,2016-01-30,8.0,5.0,1,0,0
368,2016-01-31,9.2,4.4,5,2,1
369,2016-02-01,9.25,5.0,4,2,1
370,2016-02-02,46.75,17.75,4,0,0
371,2016-02-03,38.45454545454545,18.363636363636363,11,9,1
372,2016-02-04,9.88888888888889,5.555555555555555,9,0,0
373,2016-02-05,50.25,22.25,8,0,0
374,2016-02-06,24.142857142857142,13.857142857142858,7,0,0
375,2016-02-07,11.4,5.4,5,2,1
376,2016-02-08,12.5,4.5,4,5,1
377,2016-02-09,23.916666666666668,13.5,12,0,0
378,2016-02-10,15.5,7.333333333333333,6,1,1
379,2016-02-11,32.75,20.5,4,2,1
380,2016-02-12,17.375,8.625,8,1,1
381,2016-02-13,12.076923076923077,5.923076923076923,13,0,0
382,2016-02-14,16.555555555555557,6.888888888888889,9,0,0
383,2016-02-15,14.555555555555555,9.055555555555555,18,0,0
384,2016-02-16,14.5,8.125,8,9,1
385,2016-02-17,13.0,6.5,20,10,1
386,2016-02-18,40.57142857142857,20.714285714285715,7,3,1
387,2016-02-19,40.125,16.75,8,0,0
388,2016-02-20,43.5,31.75,4,0,0
389,2016-02-21,31.4,15.4,5,0,0
390,2016-02-22,9.333333333333334,6.333333333333333,3,0,0
391,2016-02-23,12.0,8.0,1,0,0
392,2016-02-24,8.727272727272727,5.181818181818182,11,0,0
393,2016-02-25,34.4,19.2,5,0,0
394,2016-02-26,12.666666666666666,5.0,3,0,0
395,2016-02-27,10.2,5.8,5,1,1
396,2016-02-28,25.666666666666668,12.333333333333334,3,1,1
397,2016-02-29,33.0,16.5,2,1,1
398,2016-03-01,40.8,30.6,5,2,1
399,2016-03-02,72.0,37.0,1,2,1
400,2016-03-03,60.0,28.666666666666668,3,0,0
401,2016-03-04,31.333333333333332,17.0,3,1,1
402,2016-03-05,35.25,17.75,4,0,0
403,2016-03-06,13.428571428571429,7.142857142857143,7,8,1
404,2016-03-08,15.0,6.875,8,0,0
405,2016-03-09,18.25,9.25,4,0,0
406,2016-03-10,14.5,7.5,2,5,1
407,2016-03-12,22.5,13.0,2,0,0
408,2016-03-13,8.0,4.0,1,0,0
409,2016-03-14,13.0,6.333333333333333,3,5,1
410,2016-03-15,20.0,9.833333333333334,6,26,1
411,2016-03-16,14.0,6.5,2,4,1
412,2016-03-17,9.0,3.0,1,1,1
413,2016-03-18,16.333333333333332,8.333333333333334,3,2,1
414,2016-03-19,7.0,4.0,1,3,1
415,2016-03-20,15.25,7.5,4,4,1
416,2016-03-23,64.25,36.0,4,3,1
417,2016-03-24,6.0,3.0,2,1,1
418,2016-03-25,7.0,5.0,1,1,1
419,2016-03-26,9.0,3.6666666666666665,3,0,0
420,2016-03-27,13.5,8.5,6,1,1
421,2016-03-28,14.0,6.0,5,0,0
422,2016-03-29,22.0,10.0,2,0,0
423,2016-03-30,12.0,7.0,1,0,0
424,2016-04-01,6.333333333333333,3.6666666666666665,3,1,1
425,2016-04-02,11.0,6.0,1,14,1
426,2016-04-03,15.5,8.5,2,10,1
427,2016-04-04,15.0,7.333333333333333,3,0,0
428,2016-04-05,7.75,3.75,4,1,1
429,2016-04-06,47.75,18.0,4,0,0
430,2016-04-07,44.333333333333336,24.0,6,20,1
431,2016-04-08,10.0,5.0,3,7,1
432,2016-04-09,32.5,19.5,8,1,1
433,2016-04-10,169.0,132.0,2,2,1
434,2016-04-11,30.0,10.666666666666666,6,1,1
435,2016-04-12,18.5,7.0,2,15,1
436,2016-04-13,23.5,11.333333333333334,6,22,1
